t,reward,oracle,regret,sales,health,roll_reward,roll_regret,roll_sales,roll_health
12990,2.9093582554517132,12.216000000000001,9.306641744548287,23.0,5.26,7.581663903183164,4.526492820702605,74.6653067508275,5.092452467092603
12991,12.224,12.224,0.0,43.0,5.25,7.582021225850714,4.526144414543376,74.66286945812809,5.092464593596059
12992,3.1931629955947134,12.224,9.030837004405287,23.0,5.26,7.581683439486499,4.526491116043403,74.65889325021165,5.092477487878088
12993,12.224,12.224,0.0,54.0,5.25,7.582040705652459,4.52614276364106,74.65730337078652,5.092489610589503
12994,3.83319540229885,12.224,8.39080459770115,30.0,5.26,7.581752221981559,4.5264401597037045,74.6538668718738,5.092502500961908
12995,12.224,12.224,0.0,25.0,5.25,7.58210942787399,4.526091864831459,74.6500461680517,5.09251461988304
12996,2.832695652173913,12.216000000000001,9.383304347826089,9.0,5.26,7.581744004024201,4.526465582803529,74.64499499884589,5.0925275063476185
12997,10.557333333333334,12.216000000000001,1.658666666666667,41.0,5.25,7.581972930730564,4.526244948943233,74.64240652408063,5.092539621480228
12998,4.145397379912664,12.216000000000001,8.070602620087337,44.0,5.26,7.581708558428785,4.526517612815157,74.6400492345565,5.092552504038772
12999,12.224,12.224,0.0,82.0,5.25,7.582065657770444,4.526169419152633,74.64061538461539,5.092564615384615
13000,5.666622950819672,12.216000000000001,6.549377049180329,42.0,5.26,7.581918327356865,4.526325038538067,74.63810476117222,5.0925774940389195
13001,7.216,7.216,0.0,480.0,4.84,7.581890184122951,4.525976913246685,74.66928164897708,5.092558067989541
13002,4.031580174927114,12.216000000000001,8.184419825072887,63.0,5.26,7.581617146361727,4.52625826700442,74.66838421902638,5.0925709451665
13003,12.224,12.224,0.0,117.0,5.25,7.581974142889998,4.525910200388994,74.67163949553984,5.092583051368809
13004,4.276980132450331,12.216000000000001,7.93901986754967,32.0,5.26,7.581720010324797,4.5261726463457155,74.66835832372165,5.092595924644367
13005,2.2239999999999998,12.224,10.0,2.0,5.25,7.581308068143471,4.526593515740891,74.66277102875596,5.092608027064431
13006,6.173044585987261,12.216000000000001,6.04295541401274,63.0,5.26,7.581199798482353,4.526710096189746,74.66187437533635,5.092620896440378
13007,6.093551020408164,12.208,6.114448979591836,21.0,4.93,7.581085434338898,4.526832154836995,74.65774907749078,5.092608394833948
13008,8.085565217391306,12.216000000000001,4.130434782608695,109.0,4.35,7.581124213628855,4.526801683826754,74.6603889614882,5.092551310631102
