RecipeID,RecipeName,ServingSize,GramsPerServing,Calories,Protein,Total Fat,Saturated Fat,Trans Fat,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Sodium,Cholesterol,sales_item,match_score,needs_review
30108,Fat Free Unflavored Shelf-Stable Milk,Each,226.8,90.0,8.0,0.0,0.0,0.0,13.0,0.0,12.0,0.0,130.0,5.0,LACTOSE FREE MILK,10.0,False
20038,Fat Free White Milk,Each,226.8,90.0,9.0,0.0,0.0,0.0,13.0,0.0,12.0,0.0,130.0,5.0,LACTOSE FREE MILK,10.0,False
20043,"Lactose Free, White Milk",Each,226.8,90.0,9.0,0.0,0.0,0.0,13.0,0.0,12.0,0.0,130.0,5.0,LACTOSE FREE MILK,14.0,False
30103,"Milk, Lactose Free,  Fat Free, Shelf-Stable",Each,226.8,90.0,8.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,130.0,5.0,LACTOSE FREE MILK,14.0,False
30223,"Milk, Lactose Free,  Fat Free, Shelf-Stable (substitute)",Each,226.8,90.0,8.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,130.0,5.0,LACTOSE FREE MILK,14.0,False
30061,Chilled Mandarin Oranges,1/2 cup (drained),199.0,74.0,1.0,0.0,0.0,0.0,19.0,1.0,18.0,0.0,10.0,0.0,MANDARIN PARFAIT,6.0,False
60034,Mandarin Orange Parfait,Parfait,334.0,250.0,7.0,2.0,0.0,0.0,55.0,3.0,36.0,15.0,63.0,3.0,MANDARIN PARFAIT,10.0,False
30176,"Applesauce, IW, Cinnamon. Unsweetened, Shelf-Stable (SUB)",Each,128.0,50.0,0.0,0.0,0.0,0.0,14.0,1.0,12.0,0.0,0.0,0.0,MEATBALL SUB ELEM,6.0,False
20087,"Carrots, Slims Bulk (Sub For Receiving Only)",3 baby carrots per 1/4 cup,35.2,12.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,27.0,0.0,MEATBALL SUB ELEM,6.0,False
10031,"Calzone, Cheese",Each,142.0,300.0,18.0,12.0,6.0,0.0,30.0,3.0,4.0,2.0,490.0,30.0,MINI CHEESE CALZONE SECONDARY,10.0,False
10041,Mini Maple Pancakes,Package,85.9,200.0,4.0,6.0,1.0,0.0,36.0,4.0,12.0,11.0,210.0,5.0,MINI PANCAKES,10.0,False
10057,Mini Maple Waffles,Package,74.8,190.0,4.0,5.0,1.0,0.0,36.0,4.0,11.0,11.0,210.0,0.0,MINI PANCAKES,6.0,False
10071,"Cheese Sauce, Frozen, Nacho",1/2 cup,107.2,188.0,12.0,12.0,6.0,0.0,10.0,0.0,8.0,0.0,762.0,10.0,NACHO W/ BLACK BEANS&CHEESE SAUCE ELEMENTARY,14.0,False
30112,Doritos RF Nacho Cheese,Each,28.3,,,,,,,,,,,,NACHO W/ BLACK BEANS&CHEESE SAUCE ELEMENTARY,10.0,False
10064,"-Peas and Diced Carrots, Frozen",1/2 cup,90.7,60.0,3.0,0.0,0.0,0.0,11.0,4.0,4.0,0.0,15.0,0.0,NACHOS W/ BLACK BEANS AND CHEESE SECONDARY,6.0,False
60109,Black Bean and Corn Salad,1/2 cup,106.2,100.0,5.0,0.0,0.0,0.0,20.0,4.0,1.0,,70.0,0.0,NACHOS W/ BLACK BEANS AND CHEESE SECONDARY,10.0,False
30158,Black Beans,1/2 Cup,130.0,130.0,8.0,1.0,0.0,0.0,23.0,6.0,1.0,0.0,140.0,0.0,NACHOS W/ BLACK BEANS AND CHEESE SECONDARY,10.0,False
30025,Black Beans,1/2 cup,128.0,110.0,5.0,3.0,0.0,0.0,16.0,5.0,0.0,0.0,580.0,0.0,NACHOS W/ BLACK BEANS AND CHEESE SECONDARY,10.0,False
30024,Black Beans,1/2 Cup,130.0,130.0,8.0,1.0,0.0,0.0,23.0,6.0,1.0,0.0,140.0,0.0,NACHOS W/ BLACK BEANS AND CHEESE SECONDARY,10.0,False
60057,Carrot and Celery Sticks,1/2 cup,86.9,20.0,1.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,66.0,0.0,NACHOS W/ BLACK BEANS AND CHEESE SECONDARY,6.0,False
10099,"Green Beans, Frozen",1/2 cup,75.7,25.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,NACHOS W/ BLACK BEANS AND CHEESE SECONDARY,6.0,False
60079,Nachos with Black Beans and Cheese Sauce,Serving,175.3,439.0,14.0,18.0,5.0,0.0,54.0,5.0,4.0,0.0,601.0,5.0,NACHOS W/ BLACK BEANS AND CHEESE SECONDARY,22.0,False
60204,Seasoned Black Beans,1/4 cup (#16 scoop),82.6,92.0,6.0,,,,16.0,4.0,1.0,,99.0,,NACHOS W/ BLACK BEANS AND CHEESE SECONDARY,10.0,False
60221,Cheesy Beef Nachos,Serving Size,184.9,482.0,18.0,23.0,7.0,,53.0,5.0,10.0,,586.0,27.0,NACHOS W/ CHEESE ELEMENTARY,6.0,False
